,Rank,Change,Track,Artist,Peak,Prev,Streak,City,Date,Chart
0,1,–,Why,"Drexthejoint, Cypress Moreno",1,1,3,Anaheim,2024-10-24,City Weekly Pulse Songs
1,2,–,4 shots of your body,Lambo4oe,2,2,3,Anaheim,2024-10-24,City Weekly Pulse Songs
2,3,+2,When you call,MC BXB,2,5,23,Anaheim,2024-10-24,City Weekly Pulse Songs
3,4,+2,No Pasa Nada,"Clave Especial, Fuerza Regida",4,6,2,Anaheim,2024-10-24,City Weekly Pulse Songs
4,5,-1,feel U luv Me,Knock2,2,4,4,Anaheim,2024-10-24,City Weekly Pulse Songs
5,6,New,On Pz,MoneySign Suede,6,—,1,Anaheim,2024-10-24,City Weekly Pulse Songs
6,7,New,What It Iz,"OHGEESY, Lefty Gunplay",7,—,1,Anaheim,2024-10-24,City Weekly Pulse Songs
7,8,New,Smith (with Junior H & Fuerza Regida),"Chino Pacas, Junior H, Fuerza Regida",8,—,1,Anaheim,2024-10-24,City Weekly Pulse Songs
8,9,-6,DESIERTO,Becky G,3,3,2,Anaheim,2024-10-24,City Weekly Pulse Songs
9,10,-2,Me Acostumbre A Lo Bueno II,"Chuyin, Fuerza Regida",4,8,4,Anaheim,2024-10-24,City Weekly Pulse Songs
10,11,New,STARsound (pt2),"ISOxo, fussy",11,—,1,Anaheim,2024-10-24,City Weekly Pulse Songs
11,12,-5,DATS MY BABY!,Nueve Lio,2,7,2,Anaheim,2024-10-24,City Weekly Pulse Songs
12,13,-4,El Doble F,Los Ases De California,4,9,9,Anaheim,2024-10-24,City Weekly Pulse Songs
13,14,Re-Entry,She Said (feat. Kalan.FrFr),"R3 DA Chilliman, Kalan.FrFr",1,—,1,Anaheim,2024-10-24,City Weekly Pulse Songs
14,15,-4,HEAT STICK,"Shoreline Mafia, OHGEESY, Fenix Flexin",1,11,8,Anaheim,2024-10-24,City Weekly Pulse Songs
15,16,-4,Sienna,The Marías,12,12,2,Anaheim,2024-10-24,City Weekly Pulse Songs
16,17,–,Arriba la Compañía,LOS DOS DE TAMAULIPAS,14,17,9,Anaheim,2024-10-24,City Weekly Pulse Songs
17,18,New,Noid,"Tyler, The Creator",18,—,1,Anaheim,2024-10-24,City Weekly Pulse Songs
18,19,-3,Love Me Right,MIA,1,16,10,Anaheim,2024-10-24,City Weekly Pulse Songs
19,20,-5,MTV Cribs,Mike Sherm,13,15,5,Anaheim,2024-10-24,City Weekly Pulse Songs
20,21,Re-Entry,Gimme That,"Bravo the Bagchaser, Peysoh",2,—,1,Anaheim,2024-10-24,City Weekly Pulse Songs
21,22,+3,CAVE (with Tove Lo),"Dom Dolla, Tove Lo",22,25,2,Anaheim,2024-10-24,City Weekly Pulse Songs
22,23,-1,ME PORTO BONITO,Los Gemelos De Sinaloa,4,22,16,Anaheim,2024-10-24,City Weekly Pulse Songs
23,24,-14,Mirada,Ivan Cornejo,10,10,3,Anaheim,2024-10-24,City Weekly Pulse Songs
24,25,New,Love Somebody,Morgan Wallen,25,—,1,Anaheim,2024-10-24,City Weekly Pulse Songs
25,26,-13,whatcha gotta say (with Blxst),"thủy, Blxst",4,13,3,Anaheim,2024-10-24,City Weekly Pulse Songs
26,27,-13,CAN'T STOP THA KAOS,"949PAYA$o, TINY",2,14,2,Anaheim,2024-10-24,City Weekly Pulse Songs
27,28,-7,THRASH (PARTY STARTER),"ISOKNOCK, ISOxo, Knock2",2,21,10,Anaheim,2024-10-24,City Weekly Pulse Songs
28,29,-9,Vision De Tunel,Hermanos Espinoza,11,20,6,Anaheim,2024-10-24,City Weekly Pulse Songs
29,30,-11,That's That,lou deezi,13,19,9,Anaheim,2024-10-24,City Weekly Pulse Songs
30,31,-1,PERO NO TE ENAMORES,Fuerza Regida,7,30,5,Anaheim,2024-10-24,City Weekly Pulse Songs
31,32,+6,pink whitney,310babii,9,38,10,Anaheim,2024-10-24,City Weekly Pulse Songs
32,33,+6,On D Gas,"LEGADO 7, Kane Rodriguez",33,39,7,Anaheim,2024-10-24,City Weekly Pulse Songs
33,34,-8,Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",16,26,4,Anaheim,2024-10-24,City Weekly Pulse Songs
34,35,-7,Ojitos Rojos,Julio Caesar,14,28,10,Anaheim,2024-10-24,City Weekly Pulse Songs
35,36,+16,El Gabacho,"Código FN, Neton Vega, Gabito Ballesteros",36,52,2,Anaheim,2024-10-24,City Weekly Pulse Songs
36,37,-8,Don’t Smile,Sabrina Carpenter,13,29,8,Anaheim,2024-10-24,City Weekly Pulse Songs
37,38,New,HIM ALL ALONG,Gunna,38,—,1,Anaheim,2024-10-24,City Weekly Pulse Songs
